Transaction Date,Total Spent,Location,Province,Item
2022-01-18,3.55,Takeaway,Saskatchewan,Coffee
2022-01-18,3.43,In-store,Manitoba,Coffee
2022-01-11,3.5,Takeaway,Saskatchewan,Coffee
2022-01-03,6.97,Takeaway,Saskatchewan,Coffee
2022-01-14,10.24,In-store,Saskatchewan,Coffee
2022-01-07,3.39,In-store,Manitoba,Coffee
2022-01-13,3.55,Takeaway,Newfoundland and Labrador,Coffee
2022-01-27,10.43,Takeaway,British Columbia,Coffee
2022-01-08,3.44,In-store,British Columbia,Coffee
2022-01-03,10.29,Takeaway,British Columbia,Coffee
2022-01-10,3.49,In-store,Newfoundland and Labrador,Coffee
2022-01-10,3.58,In-store,Manitoba,Coffee
2022-01-21,6.68,Takeaway,Saskatchewan,Coffee
2022-01-18,3.4,In-store,British Columbia,Coffee
2022-01-25,3.44,Takeaway,Manitoba,Coffee
2022-01-21,3.6,Takeaway,Manitoba,Coffee
2022-01-13,3.52,In-store,Saskatchewan,Coffee
2022-01-25,7.11,In-store,Newfoundland and Labrador,Coffee
2022-01-06,6.84,In-store,Newfoundland and Labrador,Coffee
2022-01-02,3.51,In-store,Newfoundland and Labrador,Coffee
2022-01-04,6.84,In-store,Newfoundland and Labrador,Coffee
2022-01-24,10.59,Takeaway,British Columbia,Coffee
2022-01-14,3.5,In-store,Saskatchewan,Coffee
2022-01-06,7.08,In-store,British Columbia,Coffee
2022-01-17,3.49,In-store,British Columbia,Coffee
2022-01-05,7.04,In-store,British Columbia,Coffee
2022-01-21,7.02,Takeaway,Saskatchewan,Coffee
2022-01-14,7.11,In-store,Manitoba,Coffee
2022-01-12,7.11,Takeaway,Saskatchewan,Coffee
2022-01-10,10.16,In-store,British Columbia,Coffee
2022-01-20,6.69,In-store,British Columbia,Coffee
2022-01-12,3.57,Takeaway,British Columbia,Coffee
2022-01-04,7.17,In-store,British Columbia,Coffee
2022-01-05,3.43,In-store,Manitoba,Coffee
2022-01-31,6.74,Takeaway,Saskatchewan,Coffee
2022-01-28,7.01,Takeaway,Saskatchewan,Coffee
2022-01-22,3.52,In-store,Saskatchewan,Coffee
2022-01-10,10.7,In-store,British Columbia,Coffee
2022-01-31,7.25,In-store,Newfoundland and Labrador,Coffee
2022-01-25,3.54,Takeaway,British Columbia,Coffee
2022-01-23,3.49,In-store,British Columbia,Coffee
2022-01-14,17.37,Takeaway,British Columbia,Coffee
2022-01-10,3.44,In-store,British Columbia,Coffee
2022-01-04,10.5,In-store,British Columbia,Coffee
2022-01-28,6.96,Takeaway,British Columbia,Coffee
2022-01-14,3.43,In-store,Saskatchewan,Coffee
2022-01-07,7.29,In-store,Manitoba,Coffee
2022-01-11,7.25,In-store,Newfoundland and Labrador,Coffee
2022-01-18,10.74,Takeaway,Saskatchewan,Coffee
2022-01-06,3.44,In-store,Newfoundland and Labrador,Coffee
2022-01-27,7.12,In-store,Saskatchewan,Coffee
2022-01-24,3.54,In-store,Saskatchewan,Coffee
2022-01-23,3.53,In-store,Saskatchewan,Coffee
2022-01-14,14.12,Takeaway,Saskatchewan,Coffee
2022-01-20,7.17,In-store,Saskatchewan,Coffee
2022-01-19,3.54,In-store,Newfoundland and Labrador,Coffee
2022-01-20,10.66,In-store,Ontario,Coffee
2022-01-04,10.63,In-store,Saskatchewan,Coffee
2022-01-13,7.05,Takeaway,Saskatchewan,Coffee
2022-01-03,10.13,Takeaway,Saskatchewan,Coffee
2022-01-17,7.01,Takeaway,Saskatchewan,Coffee
2022-01-11,6.92,In-store,Saskatchewan,Coffee
2022-01-05,10.23,Takeaway,British Columbia,Coffee
2022-01-04,7.24,Takeaway,Newfoundland and Labrador,Coffee
2022-01-19,7.24,Takeaway,Manitoba,Coffee
2022-01-06,7.19,Takeaway,Saskatchewan,Coffee
2022-01-28,3.52,In-store,Newfoundland and Labrador,Coffee
2022-01-18,10.78,Takeaway,Saskatchewan,Coffee
2022-01-11,3.5,Takeaway,Newfoundland and Labrador,Coffee
2022-01-19,7.03,In-store,British Columbia,Coffee
2022-01-02,10.44,Takeaway,Manitoba,Coffee
2022-01-31,13.69,Takeaway,Manitoba,Coffee
2022-01-16,3.45,Takeaway,Newfoundland and Labrador,Coffee
2022-01-25,10.58,In-store,Manitoba,Coffee
2022-01-04,7.01,In-store,Newfoundland and Labrador,Coffee
2022-01-16,3.61,Takeaway,Manitoba,Coffee
2022-01-17,3.41,In-store,Newfoundland and Labrador,Coffee
2022-01-29,3.57,Takeaway,Manitoba,Coffee
2022-01-18,3.5,Takeaway,Manitoba,Coffee
2022-01-15,6.89,In-store,British Columbia,Coffee
2022-01-10,6.99,In-store,Saskatchewan,Coffee
2022-01-11,10.88,Takeaway,Saskatchewan,Coffee
2022-01-17,3.56,In-store,Saskatchewan,Coffee
2022-01-14,3.5,Takeaway,Newfoundland and Labrador,Coffee
2022-01-02,14.16,In-store,British Columbia,Coffee
2022-01-26,7.03,In-store,Manitoba,Coffee
2022-01-28,10.51,Takeaway,British Columbia,Coffee
2022-01-05,6.97,Takeaway,British Columbia,Coffee
2022-01-18,6.85,Takeaway,Newfoundland and Labrador,Coffee
2022-01-04,3.49,Takeaway,Newfoundland and Labrador,Coffee
2022-01-21,10.34,Takeaway,Saskatchewan,Coffee
2022-01-10,6.82,In-store,British Columbia,Coffee
2022-01-20,10.61,In-store,British Columbia,Coffee
2022-01-24,7.05,In-store,Manitoba,Coffee
2022-01-25,3.37,In-store,Newfoundland and Labrador,Coffee
2022-01-04,6.98,Takeaway,Saskatchewan,Coffee
2022-01-28,3.57,Takeaway,Newfoundland and Labrador,Coffee
2022-01-07,7.15,In-store,British Columbia,Coffee
2022-01-03,14.29,In-store,British Columbia,Coffee
2022-01-18,3.5,In-store,Newfoundland and Labrador,Coffee
2022-01-12,6.88,Takeaway,British Columbia,Coffee
2022-01-26,3.42,In-store,Saskatchewan,Coffee
2022-01-25,3.52,In-store,Manitoba,Coffee
2022-01-11,3.53,In-store,British Columbia,Coffee
2022-01-30,3.45,In-store,Newfoundland and Labrador,Coffee
2022-01-10,10.77,In-store,Saskatchewan,Coffee
2022-01-17,7.15,In-store,British Columbia,Coffee
2022-01-09,3.42,Takeaway,Newfoundland and Labrador,Coffee
2022-01-29,7.14,Takeaway,Manitoba,Coffee
2022-01-06,3.49,In-store,Newfoundland and Labrador,Coffee
2022-01-03,3.41,In-store,Saskatchewan,Coffee
2022-01-14,10.43,In-store,Saskatchewan,Coffee
2022-01-31,7.03,Takeaway,British Columbia,Coffee
2022-01-27,3.49,Takeaway,British Columbia,Coffee
2022-01-24,10.38,In-store,Newfoundland and Labrador,Coffee
2022-01-27,14.07,In-store,British Columbia,Coffee
2022-01-28,6.93,In-store,Manitoba,Coffee
2022-01-17,6.91,Takeaway,Saskatchewan,Coffee
2022-01-11,7.04,In-store,Newfoundland and Labrador,Coffee
2022-01-25,3.47,In-store,British Columbia,Coffee
2022-01-21,7.03,In-store,Saskatchewan,Coffee
2022-01-12,7.04,In-store,Newfoundland and Labrador,Coffee
2022-01-04,10.26,Takeaway,Saskatchewan,Coffee
2022-01-24,6.93,In-store,Manitoba,Coffee
2022-01-10,7.2,In-store,Newfoundland and Labrador,Coffee
2022-01-29,3.38,In-store,British Columbia,Coffee
2022-01-08,3.56,In-store,Saskatchewan,Coffee
2022-01-05,3.42,Takeaway,British Columbia,Coffee
2022-01-26,3.35,In-store,Manitoba,Coffee
2022-01-05,3.37,Takeaway,British Columbia,Coffee
2022-01-06,3.5,Takeaway,British Columbia,Coffee
2022-01-19,7.0,In-store,Manitoba,Coffee
2022-01-27,10.48,Takeaway,British Columbia,Coffee
2022-01-07,3.58,In-store,British Columbia,Coffee
2022-01-11,6.63,In-store,Newfoundland and Labrador,Coffee
2022-01-25,14.11,Takeaway,Newfoundland and Labrador,Coffee
2022-01-31,7.22,Takeaway,Saskatchewan,Coffee
2022-01-17,6.84,In-store,British Columbia,Coffee
2022-01-05,6.95,Takeaway,Newfoundland and Labrador,Coffee
2022-01-02,10.45,Takeaway,Manitoba,Coffee
2022-01-07,13.79,In-store,British Columbia,Coffee
2022-01-05,3.44,In-store,Saskatchewan,Coffee
2022-01-21,3.48,In-store,Newfoundland and Labrador,Coffee
2022-01-05,3.6,In-store,Saskatchewan,Coffee
2022-01-17,3.63,Takeaway,Manitoba,Coffee
2022-01-21,13.91,In-store,British Columbia,Coffee
2022-01-18,10.9,Takeaway,Manitoba,Coffee
2022-01-07,3.5,In-store,Newfoundland and Labrador,Coffee
2022-01-25,3.62,Takeaway,Manitoba,Coffee
2022-01-23,3.49,Takeaway,British Columbia,Coffee
2022-01-24,6.99,In-store,Saskatchewan,Coffee
2022-01-05,7.02,Takeaway,British Columbia,Coffee
2022-01-05,3.53,In-store,Manitoba,Coffee
2022-01-28,7.45,In-store,British Columbia,Coffee
2022-01-13,3.56,Takeaway,Newfoundland and Labrador,Coffee
2022-01-10,13.8,In-store,British Columbia,Coffee
2022-01-16,7.06,In-store,British Columbia,Coffee
2022-01-21,7.14,In-store,British Columbia,Coffee
2022-01-31,10.42,Takeaway,Saskatchewan,Coffee
2022-01-10,17.33,In-store,British Columbia,Coffee
2022-01-28,3.56,In-store,British Columbia,Coffee
2022-01-03,3.5,In-store,Newfoundland and Labrador,Coffee
2022-01-18,3.52,Takeaway,Manitoba,Coffee
2022-01-20,5.42,In-store,Manitoba,Coffee
2022-01-04,7.05,In-store,Newfoundland and Labrador,Coffee
2022-01-05,3.53,In-store,Manitoba,Coffee
2022-01-13,13.46,In-store,Saskatchewan,Coffee
2022-01-31,7.09,In-store,Saskatchewan,Coffee
2022-01-19,10.29,In-store,British Columbia,Coffee
2022-01-29,14.16,Takeaway,British Columbia,Coffee
2022-01-25,10.2,Takeaway,Manitoba,Coffee
2022-01-15,3.44,In-store,Saskatchewan,Coffee
2022-01-25,10.49,Takeaway,Manitoba,Coffee
2022-01-02,14.2,Takeaway,British Columbia,Coffee
2022-01-04,3.51,In-store,Newfoundland and Labrador,Coffee
2022-01-26,3.45,In-store,Saskatchewan,Coffee
2022-01-25,10.67,In-store,Saskatchewan,Coffee
2022-01-08,10.52,In-store,Manitoba,Coffee
2022-01-17,13.62,In-store,Saskatchewan,Coffee
2022-01-19,10.41,Takeaway,Manitoba,Coffee
2022-01-27,10.38,Takeaway,Newfoundland and Labrador,Coffee
2022-01-19,3.5,Takeaway,Newfoundland and Labrador,Coffee
2022-01-13,10.56,In-store,British Columbia,Coffee
2022-01-12,3.43,In-store,British Columbia,Coffee
2022-01-13,3.55,Takeaway,British Columbia,Coffee
2022-01-20,3.5,In-store,Manitoba,Coffee
2022-01-27,3.37,Takeaway,British Columbia,Coffee
2022-01-14,3.36,In-store,Saskatchewan,Coffee
2022-01-09,10.24,Takeaway,Saskatchewan,Coffee
2022-01-08,6.98,Takeaway,Manitoba,Coffee
2022-01-24,7.0,In-store,Newfoundland and Labrador,Coffee
2022-01-26,13.94,In-store,Saskatchewan,Coffee
2022-01-04,6.99,In-store,Manitoba,Coffee
2022-01-03,7.0,Takeaway,British Columbia,Coffee
2022-01-19,3.52,Takeaway,Newfoundland and Labrador,Coffee
2022-01-05,3.57,In-store,British Columbia,Coffee
2022-01-26,3.42,In-store,Manitoba,Coffee
2022-01-11,13.67,In-store,British Columbia,Coffee
2022-01-05,6.85,In-store,Newfoundland and Labrador,Coffee
2022-01-28,3.52,Takeaway,Newfoundland and Labrador,Coffee
2022-01-06,3.59,In-store,British Columbia,Coffee
2022-01-10,6.94,In-store,Newfoundland and Labrador,Coffee
2022-01-05,6.65,In-store,British Columbia,Coffee
2022-01-04,6.76,In-store,Saskatchewan,Coffee
2022-01-02,14.39,In-store,Saskatchewan,Coffee
2022-01-03,6.88,In-store,Newfoundland and Labrador,Coffee
2022-01-06,6.92,Takeaway,British Columbia,Coffee
2022-01-03,6.94,In-store,British Columbia,Coffee
2022-01-19,3.5,In-store,Newfoundland and Labrador,Coffee
2022-01-21,17.39,Takeaway,Saskatchewan,Coffee
2022-01-13,7.15,In-store,Saskatchewan,Coffee
2022-01-11,3.45,In-store,British Columbia,Coffee
2022-01-17,3.44,In-store,Saskatchewan,Coffee
2022-01-27,3.53,Takeaway,Saskatchewan,Coffee
2022-01-26,13.57,Takeaway,Newfoundland and Labrador,Coffee
2022-01-03,7.05,Takeaway,Newfoundland and Labrador,Coffee
2022-01-06,7.01,In-store,Newfoundland and Labrador,Coffee
2022-01-08,3.62,Takeaway,British Columbia,Coffee
2022-01-09,7.1,In-store,Newfoundland and Labrador,Coffee
2022-01-18,6.98,In-store,Manitoba,Coffee
2022-01-13,3.61,Takeaway,Manitoba,Coffee
2022-01-03,3.46,In-store,British Columbia,Coffee
2022-01-12,3.64,Takeaway,Newfoundland and Labrador,Coffee
2022-01-17,6.97,In-store,Newfoundland and Labrador,Coffee
2022-01-04,6.82,In-store,Saskatchewan,Coffee
2022-01-26,3.5,In-store,British Columbia,Coffee
2022-01-03,10.27,In-store,Newfoundland and Labrador,Coffee
2022-01-28,3.45,In-store,British Columbia,Coffee
2022-01-04,7.06,In-store,British Columbia,Coffee
2022-01-26,14.16,Takeaway,Manitoba,Coffee
2022-01-28,6.91,Takeaway,British Columbia,Coffee
2022-01-31,7.14,In-store,Manitoba,Coffee
2022-01-25,3.58,Takeaway,Manitoba,Coffee
2022-01-25,7.2,In-store,Saskatchewan,Coffee
2022-01-20,3.54,Takeaway,Saskatchewan,Coffee
2022-01-25,3.6,In-store,Saskatchewan,Coffee
2022-01-05,13.47,In-store,British Columbia,Coffee
2022-01-18,3.48,In-store,British Columbia,Coffee
2022-01-17,6.88,Takeaway,British Columbia,Coffee
2022-01-27,3.51,Takeaway,Manitoba,Coffee
2022-01-14,3.46,In-store,Manitoba,Coffee
2022-01-12,3.49,In-store,Manitoba,Coffee
2022-01-20,7.26,In-store,British Columbia,Coffee
2022-01-10,10.46,In-store,Newfoundland and Labrador,Coffee
2022-01-05,3.53,In-store,Saskatchewan,Coffee
2022-01-16,3.42,Takeaway,Saskatchewan,Coffee
2022-01-13,3.48,In-store,British Columbia,Coffee
2022-01-08,7.07,In-store,British Columbia,Coffee
2022-01-12,7.01,In-store,Saskatchewan,Coffee
2022-01-12,7.0,Takeaway,British Columbia,Coffee
2022-01-11,3.53,In-store,British Columbia,Coffee
2022-01-12,7.16,In-store,Newfoundland and Labrador,Coffee
2022-01-21,10.85,Takeaway,Newfoundland and Labrador,Coffee
2022-01-10,7.04,Takeaway,Manitoba,Coffee
2022-01-30,7.12,In-store,Saskatchewan,Coffee
2022-01-28,3.54,In-store,Saskatchewan,Coffee
2022-01-16,3.55,In-store,British Columbia,Coffee
2022-01-11,13.68,In-store,Newfoundland and Labrador,Coffee
2022-01-17,6.99,Takeaway,British Columbia,Coffee
2022-01-26,7.13,Takeaway,Saskatchewan,Coffee
2022-01-20,7.12,In-store,Manitoba,Coffee
2022-01-25,17.49,Takeaway,Newfoundland and Labrador,Coffee
2022-01-17,3.56,In-store,Manitoba,Coffee
2022-01-20,10.6,In-store,Newfoundland and Labrador,Coffee
2022-01-10,3.58,In-store,Newfoundland and Labrador,Coffee
2022-01-24,7.04,In-store,British Columbia,Coffee
2022-01-07,6.1,In-store,British Columbia,Tea
2022-01-21,5.88,Takeaway,Manitoba,Tea
2022-01-27,5.94,Takeaway,British Columbia,Tea
2022-01-05,12.32,Takeaway,Saskatchewan,Tea
2022-01-19,6.03,In-store,British Columbia,Tea
2022-01-04,3.05,In-store,British Columbia,Tea
2022-01-24,2.89,Takeaway,Manitoba,Tea
2022-01-04,2.99,In-store,British Columbia,Tea
2022-01-29,9.21,In-store,Saskatchewan,Tea
2022-01-05,3.06,In-store,British Columbia,Tea
2022-01-31,14.78,In-store,Manitoba,Tea
2022-01-25,8.88,Takeaway,Newfoundland and Labrador,Tea
2022-01-19,6.0,In-store,Newfoundland and Labrador,Tea
2022-01-25,5.91,In-store,British Columbia,Tea
2022-01-25,3.09,Takeaway,Newfoundland and Labrador,Tea
2022-01-30,12.24,In-store,Manitoba,Tea
2022-01-09,8.84,Takeaway,Newfoundland and Labrador,Tea
2022-01-19,12.18,In-store,British Columbia,Tea
2022-01-04,3.0,In-store,Manitoba,Tea
2022-01-19,12.51,In-store,Saskatchewan,Tea
2022-01-06,2.99,Takeaway,Newfoundland and Labrador,Tea
2022-01-18,6.06,In-store,British Columbia,Tea
2022-01-18,2.95,In-store,Newfoundland and Labrador,Tea
2022-01-15,11.9,In-store,Newfoundland and Labrador,Tea
2022-01-17,3.0,In-store,Newfoundland and Labrador,Tea
2022-01-24,6.09,In-store,Newfoundland and Labrador,Tea
2022-01-25,9.12,Takeaway,British Columbia,Tea
2022-01-17,2.95,In-store,Newfoundland and Labrador,Tea
2022-01-19,2.92,Takeaway,Manitoba,Tea
2022-01-29,6.07,In-store,British Columbia,Tea
2022-01-05,3.01,In-store,Manitoba,Tea
2022-01-04,6.05,In-store,Saskatchewan,Tea
2022-01-04,8.65,In-store,British Columbia,Tea
2022-01-20,6.26,In-store,British Columbia,Tea
2022-01-13,6.04,In-store,Manitoba,Tea
2022-01-25,5.76,Takeaway,Saskatchewan,Tea
2022-01-21,6.05,In-store,British Columbia,Tea
2022-01-11,2.9,In-store,Saskatchewan,Tea
2022-01-28,5.88,Takeaway,British Columbia,Tea
2022-01-24,9.09,Takeaway,Saskatchewan,Tea
2022-01-10,8.78,In-store,British Columbia,Tea
2022-01-12,2.94,In-store,British Columbia,Tea
2022-01-11,6.1,In-store,British Columbia,Tea
2022-01-06,2.99,Takeaway,Saskatchewan,Tea
2022-01-05,8.92,In-store,British Columbia,Tea
2022-01-29,2.89,In-store,Manitoba,Tea
2022-01-14,2.99,Takeaway,British Columbia,Tea
2022-01-12,6.21,In-store,British Columbia,Tea
2022-01-24,3.05,Takeaway,Newfoundland and Labrador,Tea
2022-01-18,2.92,In-store,Newfoundland and Labrador,Tea
2022-01-29,11.81,Takeaway,Saskatchewan,Tea
2022-01-25,15.45,Takeaway,Newfoundland and Labrador,Tea
2022-01-16,12.29,Takeaway,British Columbia,Tea
2022-01-12,5.95,In-store,British Columbia,Tea
2022-01-31,3.0,In-store,Saskatchewan,Tea
2022-01-23,3.06,In-store,British Columbia,Tea
2022-01-30,6.03,In-store,Manitoba,Tea
2022-01-05,5.88,Takeaway,Manitoba,Tea
2022-01-26,11.89,In-store,Saskatchewan,Tea
2022-01-20,6.02,Takeaway,Newfoundland and Labrador,Tea
2022-01-05,6.01,Takeaway,Manitoba,Tea
2022-01-19,6.21,In-store,Manitoba,Tea
2022-01-21,8.8,In-store,Saskatchewan,Tea
2022-01-02,3.04,In-store,British Columbia,Tea
2022-01-14,8.97,Takeaway,Manitoba,Tea
2022-01-26,2.87,Takeaway,Newfoundland and Labrador,Tea
2022-01-10,5.93,Takeaway,British Columbia,Tea
2022-01-14,9.19,In-store,Saskatchewan,Tea
2022-01-14,6.18,Takeaway,British Columbia,Tea
2022-01-10,3.1,In-store,Saskatchewan,Tea
2022-01-28,5.95,Takeaway,British Columbia,Tea
2022-01-25,5.96,Takeaway,British Columbia,Tea
2022-01-04,14.71,In-store,British Columbia,Tea
2022-01-31,5.98,Takeaway,Manitoba,Tea
2022-01-27,3.07,In-store,British Columbia,Tea
2022-01-10,9.15,Takeaway,British Columbia,Tea
2022-01-26,2.97,In-store,British Columbia,Tea
2022-01-04,5.96,In-store,Manitoba,Tea
2022-01-31,2.98,In-store,Manitoba,Tea
2022-01-21,8.9,In-store,British Columbia,Tea
2022-01-20,12.06,Takeaway,British Columbia,Tea
2022-01-04,6.09,Takeaway,British Columbia,Tea
2022-01-28,6.28,Takeaway,British Columbia,Tea
2022-01-03,9.0,Takeaway,Manitoba,Tea
2022-01-08,6.26,In-store,British Columbia,Tea
2022-01-05,3.04,In-store,Manitoba,Tea
2022-01-25,2.94,In-store,British Columbia,Tea
2022-01-07,3.01,Takeaway,Manitoba,Tea
2022-01-28,8.08,In-store,Newfoundland and Labrador,Sandwich
2022-01-20,7.82,In-store,Newfoundland and Labrador,Sandwich
2022-01-03,8.04,Takeaway,British Columbia,Sandwich
2022-01-01,8.2,In-store,British Columbia,Sandwich
2022-01-03,8.05,In-store,Newfoundland and Labrador,Sandwich
2022-01-19,8.08,In-store,Saskatchewan,Sandwich
2022-01-25,16.39,In-store,British Columbia,Sandwich
2022-01-08,24.36,Takeaway,Manitoba,Sandwich
2022-01-26,7.92,Takeaway,Saskatchewan,Sandwich
2022-01-03,15.8,Takeaway,Saskatchewan,Sandwich
2022-01-25,8.0,In-store,Newfoundland and Labrador,Sandwich
2022-01-28,8.13,In-store,Saskatchewan,Sandwich
2022-01-25,15.93,In-store,British Columbia,Sandwich
2022-01-22,8.13,Takeaway,Manitoba,Sandwich
2022-01-26,7.74,In-store,British Columbia,Sandwich
2022-01-03,7.96,Takeaway,Newfoundland and Labrador,Sandwich
2022-01-07,40.13,In-store,British Columbia,Sandwich
2022-01-05,31.5,In-store,Saskatchewan,Sandwich
2022-01-17,15.25,Takeaway,Saskatchewan,Sandwich
2022-01-24,24.15,In-store,British Columbia,Sandwich
2022-01-20,7.79,In-store,Ontario,Sandwich
2022-01-26,8.15,In-store,Saskatchewan,Sandwich
2022-01-06,8.37,In-store,British Columbia,Sandwich
2022-01-24,7.86,In-store,Manitoba,Sandwich
2022-01-06,8.06,In-store,British Columbia,Sandwich
2022-01-10,8.05,In-store,British Columbia,Sandwich
2022-01-23,32.21,In-store,Newfoundland and Labrador,Sandwich
2022-01-31,23.26,In-store,Newfoundland and Labrador,Sandwich
2022-01-19,30.45,Takeaway,Manitoba,Sandwich
2022-01-03,15.57,In-store,Saskatchewan,Sandwich
2022-01-19,23.85,In-store,Newfoundland and Labrador,Sandwich
2022-01-03,25.17,In-store,Manitoba,Sandwich
2022-01-27,16.18,In-store,British Columbia,Sandwich
2022-01-23,8.12,In-store,Saskatchewan,Sandwich
2022-01-06,23.58,In-store,Manitoba,Sandwich
2022-01-04,15.71,In-store,Saskatchewan,Sandwich
2022-01-06,7.89,In-store,Manitoba,Sandwich
2022-01-31,30.8,In-store,British Columbia,Sandwich
2022-01-14,39.29,In-store,Saskatchewan,Sandwich
2022-01-25,16.15,In-store,Newfoundland and Labrador,Sandwich
2022-01-20,7.96,In-store,Saskatchewan,Sandwich
2022-01-18,23.8,Takeaway,British Columbia,Sandwich
2022-01-05,8.13,In-store,British Columbia,Sandwich
2022-01-30,15.67,In-store,Newfoundland and Labrador,Sandwich
2022-01-10,7.82,In-store,Manitoba,Sandwich
2022-01-18,40.34,In-store,Saskatchewan,Sandwich
2022-01-22,15.9,In-store,British Columbia,Sandwich
2022-01-20,23.45,Takeaway,Manitoba,Sandwich
2022-01-30,7.77,In-store,British Columbia,Sandwich
2022-01-05,8.13,Takeaway,Newfoundland and Labrador,Sandwich
2022-01-17,8.01,Takeaway,British Columbia,Sandwich
2022-01-13,40.13,In-store,Newfoundland and Labrador,Sandwich
2022-01-16,15.62,Takeaway,British Columbia,Sandwich
2022-01-05,7.98,In-store,British Columbia,Sandwich
2022-01-05,24.26,Takeaway,British Columbia,Sandwich
2022-01-10,23.59,In-store,Manitoba,Sandwich
2022-01-11,24.49,In-store,Manitoba,Sandwich
2022-01-13,7.96,Takeaway,Saskatchewan,Sandwich
2022-01-19,16.16,Takeaway,Newfoundland and Labrador,Sandwich
2022-01-20,8.11,In-store,Newfoundland and Labrador,Sandwich
2022-01-13,23.63,In-store,British Columbia,Sandwich
2022-01-13,8.08,In-store,Newfoundland and Labrador,Sandwich
2022-01-07,15.76,Takeaway,Manitoba,Sandwich
2022-01-19,7.75,In-store,Saskatchewan,Sandwich
2022-01-11,24.09,In-store,Manitoba,Sandwich
2022-01-03,8.35,Takeaway,British Columbia,Sandwich
2022-01-13,15.79,In-store,Saskatchewan,Sandwich
2022-01-16,16.4,In-store,Manitoba,Sandwich
2022-01-07,24.25,In-store,British Columbia,Sandwich
2022-01-18,8.13,In-store,Newfoundland and Labrador,Sandwich
2022-01-18,15.63,In-store,British Columbia,Sandwich
2022-01-22,32.27,In-store,Newfoundland and Labrador,Sandwich
2022-01-20,7.9,In-store,Newfoundland and Labrador,Sandwich
2022-01-20,24.6,Takeaway,Saskatchewan,Sandwich
2022-01-11,24.31,In-store,Saskatchewan,Sandwich
2022-01-25,24.03,In-store,British Columbia,Sandwich
2022-01-18,30.99,In-store,British Columbia,Sandwich
2022-01-14,15.82,In-store,Newfoundland and Labrador,Sandwich
2022-01-20,8.08,In-store,Newfoundland and Labrador,Sandwich
2022-01-12,7.5,In-store,British Columbia,Sandwich
2022-01-17,24.39,Takeaway,Manitoba,Sandwich
2022-01-24,24.54,Takeaway,Newfoundland and Labrador,Sandwich
2022-01-27,41.44,In-store,Saskatchewan,Sandwich
2022-01-28,16.41,Takeaway,British Columbia,Sandwich
2022-01-17,32.26,In-store,British Columbia,Sandwich
2022-01-17,8.12,In-store,British Columbia,Sandwich
2022-01-25,15.89,Takeaway,Manitoba,Sandwich
